timestamp,dorm,usage
2025-01-01 00:00:00,Dorm_A,46.02477405627475
2025-01-01 01:00:00,Dorm_A,31.97514668551384
2025-01-01 02:00:00,Dorm_A,44.24217928834346
2025-01-01 03:00:00,Dorm_A,38.61730478864354
2025-01-01 04:00:00,Dorm_A,51.75208990200948
2025-01-01 05:00:00,Dorm_A,56.86841077008545
2025-01-01 06:00:00,Dorm_A,27.92724515916445
2025-01-01 07:00:00,Dorm_A,57.78424858661603
2025-01-01 08:00:00,Dorm_A,41.5276013396458
2025-01-01 09:00:00,Dorm_A,58.97812049457633
2025-01-01 10:00:00,Dorm_A,28.08176095955669
2025-01-01 11:00:00,Dorm_A,48.84654648246478
2025-01-01 12:00:00,Dorm_A,57.729117813554026
2025-01-01 13:00:00,Dorm_A,55.06956320436992
2025-01-01 14:00:00,Dorm_A,49.38206427149765
2025-01-01 15:00:00,Dorm_A,63.417979121768944
2025-01-01 16:00:00,Dorm_A,58.67639111156191
2025-01-01 17:00:00,Dorm_A,43.47592624943882
2025-01-01 18:00:00,Dorm_A,58.382995049838264
2025-01-01 19:00:00,Dorm_A,47.83678020200014
2025-01-01 20:00:00,Dorm_A,61.353083814498675
2025-01-01 21:00:00,Dorm_A,46.45257545083122
2025-01-01 22:00:00,Dorm_A,39.77856837413161
2025-01-01 23:00:00,Dorm_A,58.20318979196359
2025-01-02 00:00:00,Dorm_A,61.44667376887861
2025-01-02 01:00:00,Dorm_A,66.53984825205038
2025-01-02 02:00:00,Dorm_A,44.5794080586844
2025-01-02 03:00:00,Dorm_A,44.999795586119355
2025-01-02 04:00:00,Dorm_A,31.936715561150997
2025-01-02 05:00:00,Dorm_A,49.04557072022881
2025-01-02 06:00:00,Dorm_A,27.595422360420244
2025-01-02 07:00:00,Dorm_A,57.74426418867017
2025-01-02 08:00:00,Dorm_A,52.34808463541951
2025-01-02 09:00:00,Dorm_A,46.90233677986996
2025-01-02 10:00:00,Dorm_A,56.113465788726835
